epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.649,0.28685,1.22785,0.99509,0.92797,0.92992,0.98274,0.96027,0.27181,0.40744,0.71754,0.0700333,0.00332964,0.00332964
2,273.619,0.23349,0.41774,0.94389,0.97632,0.96938,0.99126,0.94523,0.3313,0.36376,0.77627,0.0393736,0.00600334,0.00600334
3,345.477,0.26062,0.43564,0.95667,0.93795,0.93311,0.96973,0.90784,0.37046,0.45156,0.79177,0.00805399,0.00801704,0.00801704
4,475.833,0.26085,0.43705,0.95974,0.98536,0.97173,0.99266,0.95104,0.3691,0.37076,0.80369,0.00703,0.00703,0.00703
5,611.342,0.23318,0.36157,0.94628,0.93764,0.93713,0.97662,0.93288,0.36532,0.53616,0.78711,0.00604,0.00604,0.00604
6,722.817,0.20993,0.27337,0.93071,0.98897,0.9905,0.99441,0.97148,0.29061,0.30305,0.73437,0.00505,0.00505,0.00505
7,852.147,0.18819,0.22352,0.92367,0.99192,0.9957,0.99495,0.97461,0.29735,0.283,0.73816,0.00406,0.00406,0.00406
8,993.824,0.17271,0.34274,0.91301,0.99497,0.99176,0.99496,0.96337,0.298,0.27714,0.73841,0.00307,0.00307,0.00307
9,1089.8,0.15386,0.16442,0.91192,0.99083,0.99356,0.99489,0.98377,0.28098,0.27238,0.71621,0.00208,0.00208,0.00208
10,1175.07,0.13446,0.13196,0.90176,0.9971,0.99772,0.99496,0.98832,0.2466,0.23164,0.6962,0.00109,0.00109,0.00109
